canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_value,value,IC50_nM,pIC50
N[C@@H](CC1CCCCC1)C(=O)N1CCCCC1,CHEMBL93558,=,=,217000.0,217.0,217000.0,3.663540266151471
C[C@H](N)C(=O)N1CCCC1,CHEMBL443622,=,=,41000.0,41.0,41000.0,4.3872161432802645
O=C([C@@H]1CCCN1)N1CCCC1,CHEMBL403882,=,=,15000.0,15.0,15000.0,4.823908740944319
NC(=O)CC(N)C(=O)N1CCCC1,CHEMBL328795,=,=,188000.0,188.0,188000.0,3.7258421507363204
NCCCCC(N)C(=O)N1CCCCC1,CHEMBL97674,=,=,247000.0,247.0,247000.0,3.607303046740334
NC(Cc1ccc(O)cc1)C(=O)N1CCCC1,CHEMBL317126,=,=,14000.0,14.0,14000.0,4.853871964321762
CC(C)[C@H](N)C(=O)N1CCCC1,CHEMBL383705,=,=,4000.0,4.0,4000.0,5.3979400086720375
NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCCCC1,CHEMBL94955,=,=,134900.0,134.9,134900.0,3.8699880503280957
NC(Cc1c[nH]cn1)C(=O)N1CCCCC1,CHEMBL97180,=,=,213000.0,213.0,213000.0,3.671620396561262
N[C@@H](CC1CCCCC1)C(=O)N1CCCC1,CHEMBL98008,=,=,17000.0,17.0,17000.0,4.769551078621726
NC(Cc1c[nH]cn1)C(=O)N1CCCC1,CHEMBL317944,=,=,23210.0,23.21,23210.0,4.6343248595440825
CCC(C)C(N)C(=O)N1CCCCC1,CHEMBL93507,=,=,67000.0,67.0,67000.0,4.173925197299174
NC(Cc1ccccc1)C(=O)N1CCCC1,CHEMBL93931,=,=,21000.0,21.0,21000.0,4.6777807052660805
NC(CO)C(=O)N1CCCC1,CHEMBL97064,=,=,190000.0,190.0,190000.0,3.721246399047171
CC[C@H](C)[C@H](N)C(=O)N1CCCC1,CHEMBL503274,=,=,4000.0,4.0,4000.0,5.3979400086720375
N[C@@H](CC(=O)O)C(=O)N1CCCC1,CHEMBL499101,=,=,122000.0,122.0,122000.0,3.9136401693252516
NCCCCC(N)C(=O)N1CCCC1,CHEMBL328694,=,=,39000.0,39.0,39000.0,4.4089353929735005
CC(C)[C@@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL305170,=,=,116000.0,116000.0,116000.0,3.935542010773082
C[C@@H](O)[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL1790478,=,=,190.0,190.0,190.0,6.721246399047171
CC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL66032,=,=,11.0,11.0,11.0,7.958607314841775
NCCCC[C@H](N)C(=O)N1CCC[C@H]1B(O)O,CHEMBL63726,=,=,95.0,95.0,95.0,7.022276394711152
N[C@@H](Cc1c[nH]cn1)C(=O)N1CCC[C@H]1B(O)O,CHEMBL303131,=,=,17000.0,17000.0,17000.0,4.769551078621726
O=C([C@@H]1CCN1)N1CCC[C@H]1B(O)O,CHEMBL292342,=,=,250.0,250.0,250.0,6.6020599913279625
